PlayerName,Speed,Accuracy,Endurance,PassCompletion,Goals
John Smith,7.8,85,6.5,88,12
Mark Johnson,8.2,78,7.1,80,9
Alex Carter,7.1,90,6.8,85,14
David Brown,8.5,82,7.5,89,11
Michael White,7.9,87,6.4,84,10
Chris Evans,8.3,80,7.2,86,13
Ryan Taylor,7.5,88,6.9,90,15
Daniel Lewis,8.1,79,7.0,82,8
Matthew Harris,7.4,92,6.6,87,16
Luke Walker,8.6,77,7.8,81,7
Andrew Hall,7.3,89,6.7,85,14
Joshua Allen,8.0,84,7.1,88,12
Nathan Young,7.6,91,6.5,89,17
Benjamin King,8.4,83,7.4,87,10
Samuel Wright,7.2,86,6.3,86,11
